Path,Day_0,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30
Path_72,15.1671,15.0920,14.4605,14.6591,14.8747,14.8337,14.8511,14.5890,14.4917,16.3662,16.4542,16.4542,16.5257,16.6969,16.5659,16.7113,17.1511,17.2928,17.4613,16.9177,17.1300,17.1971,17.2771,17.6789,17.8486,18.0731,17.9534,18.2442,17.3320,17.5715,17.1982
Path_73,15.1671,14.8224,14.4398,14.3390,14.2807,14.4431,14.4785,14.6822,14.8378,14.5855,14.3047,14.2841,14.2274,13.5499,13.7582,14.7865,15.3872,15.1429,15.0885,15.7274,15.6492,14.6460,14.6022,14.0806,14.1598,13.7804,13.5768,12.6940,12.6667,12.3903,12.3151
Path_74,15.1671,14.9573,15.0118,14.2612,14.7365,15.1187,15.0872,15.4098,15.7990,15.9323,15.2898,15.6167,15.5580,15.5786,15.6542,15.4784,15.8128,15.7373,15.7373,15.7373,15.6902,15.7955,16.9735,17.2788,17.7663,17.2755,17.4696,17.3457,17.1508,16.8360,16.6348
Path_75,15.1671,15.2986,15.4109,15.4592,15.4838,15.4838,15.2811,15.4889,15.4340,15.3473,15.3978,15.4633,15.5842,15.5842,15.9813,15.8850,15.6873,15.5227,15.4314,15.6813,15.8149,15.7567,15.7159,15.9421,15.9222,16.0304,16.6411,16.5737,16.3037,16.2250,16.2781
Path_76,15.1671,14.2571,14.2134,14.1567,14.1406,14.4091,14.3457,14.5913,14.4649,14.6745,14.2779,14.1057,13.9071,14.2662,14.1426,14.2826,14.4334,14.1480,14.1480,13.8289,13.5388,13.3939,14.0356,15.0905,15.4477,16.6092,17.3219,17.3912,17.2504,17.3127,17.6049
Path_77,15.1671,16.3074,16.0214,16.4946,15.4269,15.3794,15.3296,15.3296,15.7311,15.9963,15.9093,15.9093,16.1034,16.2032,17.0919,16.3767,16.8007,17.2819,17.5934,17.7785,19.0936,20.0881,20.0881,19.6782,18.7144,19.2407,19.2863,19.4028,19.6076,19.8396,19.3834
Path_78,15.1671,14.9732,15.5423,16.7073,16.3064,16.3064,15.2495,15.4395,14.9387,14.7101,14.4377,14.5914,14.5914,14.2821,14.5145,14.8747,14.9790,14.2729,13.3448,13.5089,13.5949,13.6920,13.6920,13.9714,14.2890,14.1183,14.1183,14.2016,14.2461,14.2827,14.2154
Path_79,15.1671,15.0275,15.1492,14.9907,15.4048,15.0037,15.0738,14.8775,14.8951,14.5796,14.5178,14.9521,14.8538,14.8013,14.5163,14.4743,14.9328,14.8053,14.9629,14.9449,15.1645,14.6843,14.9354,14.9354,14.8477,14.9404,14.8021,15.1311,15.1653,15.2462,15.5303
Path_80,15.1671,15.2391,15.0922,15.3744,14.8940,13.9505,14.1173,13.8772,13.5433,13.3176,13.4600,12.8747,12.9989,12.7448,13.1212,12.8096,12.7063,12.7579,12.8078,12.6886,12.6477,12.8806,12.7615,13.0027,12.9668,12.8944,12.5837,12.5364,12.4203,12.4943,11.8013
Path_81,15.1671,14.1779,13.3264,13.3682,13.2559,12.6246,12.6748,12.5050,12.4446,12.4446,12.3736,12.0742,12.0246,11.6062,11.6548,11.4520,11.2280,11.9588,11.7502,11.8005,11.9108,11.8533,11.8533,11.6993,12.0025,11.8064,11.8548,11.6399,11.5791,11.6514,11.8051
Path_82,15.1671,14.9639,14.7667,14.5593,15.5943,15.2929,15.8085,16.1090,15.7146,15.8574,14.8473,14.5505,14.3204,14.4344,14.6627,14.9886,15.0724,15.2697,14.7285,14.4397,14.0458,13.7060,13.7555,14.6152,14.7488,15.0357,16.0575,17.1212,16.7724,16.7916,16.5372
Path_83,15.1671,15.2142,14.4135,14.1733,14.1308,14.5866,15.2950,15.4379,15.5329,14.5372,14.4161,14.9201,14.7925,14.5404,14.7075,14.5590,14.5877,14.2880,14.9820,15.0864,15.2380,14.9893,15.0731,15.2109,15.0224,14.7492,14.9276,14.9106,15.1727,15.0220,15.0750
Path_84,15.1671,14.8102,14.3772,14.3772,14.4089,14.9657,15.1916,15.0496,15.6229,14.8062,14.7271,14.2781,14.5276,14.3612,14.7602,14.9901,15.1372,14.6659,14.6061,14.5058,14.6257,14.1743,15.2051,15.7070,15.5259,15.5923,15.5923,15.2254,15.4663,15.3685,14.4903
Path_85,15.1671,14.7047,14.9711,14.7344,14.2081,14.2956,14.2788,14.1405,13.8927,13.8150,13.9350,13.8969,13.8969,13.8306,13.7638,13.7425,13.7425,13.4517,13.1224,13.0930,13.0325,12.5071,12.3021,12.8613,12.4830,12.3521,12.4198,12.5913,12.3793,13.2843,13.3592
Path_86,15.1671,15.1210,15.9085,16.0381,16.1832,16.5152,16.9263,16.4794,16.8522,16.8017,16.4971,16.6419,16.8468,16.6279,16.6279,16.3148,16.5181,16.7793,16.5251,16.5482,16.4683,16.4206,16.8427,16.9173,16.2984,16.2984,16.5398,15.9513,15.9103,15.8774,15.9448
Path_87,15.1671,15.5149,16.2200,16.7432,16.5502,16.6221,17.6076,17.7183,17.6092,17.8515,18.1665,18.1665,19.5103,20.9504,20.9504,20.2020,20.5611,20.4705,20.3550,21.1730,21.6141,21.6886,21.7801,22.1111,21.2024,20.6510,20.6829,20.7302,19.5996,18.6394,18.7181
Path_88,15.1671,15.3285,15.1356,14.6517,14.5829,14.5661,15.6592,14.9784,15.1875,15.1265,15.2958,15.7754,15.8465,16.2126,15.7002,15.3968,15.3968,15.8856,15.5274,15.2979,15.3594,14.3790,13.9171,14.2765,14.2765,14.1604,14.2044,14.2975,14.0421,13.7614,13.9019
